dataset,image,gt_id_1,gt_id_2,merged,pred_id_1,pred_id_2,interface_len_px,area_1,area_2,centroid_r,centroid_c,iface_mean_intensity,cell_mean_intensity,local_contrast,iface_fg_coverage,pair_fg_coverage
whole_cell,whole_cell_figure_1,96,103,False,106,107,29,720,235,145.9655172413793,305.2758620689655,47.310344827586206,81.2565445026178,33.94619967503159,0.27586206896551724,0.6565445026178011
whole_cell,whole_cell_figure_1,96,113,True,106,106,55,720,224,154.1818181818182,287.56363636363636,60.69090909090909,78.54131355932203,17.850404468412947,0.4727272727272727,0.6536016949152542
whole_cell,whole_cell_figure_1,97,99,True,95,95,59,379,272,141.42372881355934,197.67796610169492,74.67796610169492,85.6620583717358,10.984092270040875,0.864406779661017,0.8018433179723502
whole_cell,whole_cell_figure_1,97,110,False,95,114,22,379,296,148.72727272727272,176.6818181818182,44.13636363636363,86.13777777777777,42.00141414141414,0.045454545454545456,0.794074074074074
whole_cell,whole_cell_figure_1,98,100,False,109,104,16,229,270,143.0,498.5,69.0,96.3246492985972,27.324649298597194,0.9375,0.8356713426853707
whole_cell,whole_cell_figure_1,98,108,True,109,109,40,229,165,145.975,517.825,81.475,101.43908629441624,19.964086294416248,0.9,0.8451776649746193
whole_cell,whole_cell_figure_1,99,110,False,95,114,4,272,296,150.0,188.5,57.25,88.40316901408451,31.15316901408451,0.75,0.7253521126760564
whole_cell,whole_cell_figure_1,102,111,False,110,113,26,221,176,153.42307692307693,31.423076923076923,95.0,106.33249370277078,11.332493702770776,0.9615384615384616,0.836272040302267
whole_cell,whole_cell_figure_1,104,111,False,111,113,37,252,176,152.67567567567568,43.567567567567565,84.45945945945945,119.43691588785046,34.97745642839101,1.0,0.9205607476635514
whole_cell,whole_cell_figure_1,104,112,True,111,111,32,252,184,153.25,60.75,127.78125,120.5848623853211,-7.196387614678898,1.0,0.926605504587156
whole_cell,whole_cell_figure_1,105,377,False,118,107,27,471,89,147.1851851851852,339.14814814814815,66.25925925925925,93.20535714285714,26.946097883597886,0.7777777777777778,0.7767857142857143
whole_cell,whole_cell_figure_1,106,114,True,117,117,33,240,243,159.21212121212122,429.969696969697,116.0,105.7432712215321,-10.256728778467902,0.9090909090909091,0.8488612836438924
whole_cell,whole_cell_figure_1,113,123,False,106,127,25,224,186,167.0,287.76,68.48,85.44390243902438,16.96390243902438,0.68,0.7707317073170732
whole_cell,whole_cell_figure_1,114,119,False,117,128,41,243,277,168.82926829268294,439.219512195122,96.78048780487805,112.99230769230769,16.21181988742964,0.8292682926829268,0.8903846153846153
whole_cell,whole_cell_figure_1,115,131,False,119,131,13,291,302,175.92307692307693,392.84615384615387,53.46153846153846,86.8920741989882,33.43053573744974,0.5384615384615384,0.7268128161888702
whole_cell,whole_cell_figure_1,116,127,False,115,125,28,229,424,171.39285714285714,132.85714285714286,73.17857142857143,98.33996937212864,25.161397943557205,0.8928571428571429,0.8024502297090352
whole_cell,whole_cell_figure_1,117,129,False,116,130,20,223,157,172.8,258.3,67.45,86.15526315789474,18.705263157894734,0.65,0.7552631578947369
whole_cell,whole_cell_figure_1,118,121,True,120,120,41,252,243,170.14634146341464,498.609756097561,105.73170731707317,96.27272727272727,-9.458980044345907,0.926829268292683,0.7838383838383839
whole_cell,whole_cell_figure_1,121,136,False,120,135,14,243,258,178.5,496.0,56.0,94.48702594810379,38.48702594810379,0.5,0.7564870259481038
whole_cell,whole_cell_figure_1,123,126,True,127,127,81,186,467,177.28395061728395,289.4691358024691,82.12345679012346,84.6937212863706,2.570264496247148,0.6296296296296297,0.6569678407350689
whole_cell,whole_cell_figure_1,126,129,False,127,130,24,467,157,184.41666666666666,275.0833333333333,54.375,86.32532051282051,31.95032051282051,0.4166666666666667,0.6714743589743589
whole_cell,whole_cell_figure_1,129,135,False,130,140,24,157,100,181.0,257.5,101.0,93.89105058365759,-7.108949416342412,0.8333333333333334,0.8365758754863813
whole_cell,whole_cell_figure_1,130,376,True,132,132,14,306,187,176.35714285714286,344.35714285714283,103.14285714285714,107.7342799188641,4.591422776006965,1.0,0.8985801217038539
whole_cell,whole_cell_figure_1,130,379,True,132,132,4,306,75,194.5,353.0,193.0,114.5774278215223,-78.4225721784777,1.0,0.905511811023622
