test,q,lengthscale,outputscale,noise,mll,best_outputscale,best_mll,at_grid_edge
T3,1.0,0.002848035868435802,0.21544346900318823,1e-07,-1.4352666235974698,,,
T3,1.0,0.002848035868435802,0.21544346900318823,1e-06,-1.4352674109183792,,,
T3,1.0,0.002848035868435802,0.21544346900318823,1e-05,-1.435275283976109,,,
T3,1.0,0.002848035868435802,0.21544346900318823,0.0001,-1.4353539994212174,,,
T3,1.0,0.002848035868435802,0.21544346900318823,0.001,-1.4361396446344703,,,
T3,1.0,0.002848035868435802,0.21544346900318823,0.01,-1.4438490392514158,,,
T3,1.0,0.002848035868435802,0.21544346900318823,0.1,-1.5092273943107382,,,
T3,1.0,0.002848035868435802,0.21544346900318823,1.0,-1.7965588632631757,,,
T3,1.0,0.002848035868435802,0.21544346900318823,10.0,-2.2948179460568,,,
T3,1.0,0.002848035868435802,1.0,1e-10,-1.7530905349643302,,,
T3,1.0,0.002848035868435802,1.0,1e-09,-1.7530905351636268,,,
T3,1.0,0.002848035868435802,1.0,1e-08,-1.7530905371565926,,,
T3,1.0,0.002848035868435802,1.0,1e-07,-1.7530905570862494,,,
T3,1.0,0.002848035868435802,1.0,1e-06,-1.7530907563827232,,,
T3,1.0,0.002848035868435802,1.0,1e-05,-1.7530927493382333,,,
T3,1.0,0.002848035868435802,1.0,0.0001,-1.7531126779704984,,,
T3,1.0,0.002848035868435802,1.0,0.001,-1.753311872067615,,,
T3,1.0,0.002848035868435802,1.0,0.01,-1.755294648313285,,,
T3,1.0,0.002848035868435802,1.0,0.1,-1.7742599222100168,,,
T3,1.0,0.002848035868435802,1.0,1.0,-1.9096476292315774,,,
T3,1.0,0.002848035868435802,1.0,10.0,-2.3126674914553584,,,
T3,1.0,0.002848035868435802,4.641588833612772,1e-10,-2.1062479952449094,,,
T3,1.0,0.002848035868435802,4.641588833612772,1e-09,-2.106247995290814,,,
T3,1.0,0.002848035868435802,4.641588833612772,1e-08,-2.1062479957498583,,,
T3,1.0,0.002848035868435802,4.641588833612772,1e-07,-2.1062480003403037,,,
T3,1.0,0.002848035868435802,4.641588833612772,1e-06,-2.1062480462447506,,,
T3,1.0,0.002848035868435802,4.641588833612772,1e-05,-2.106248505288746,,,
T3,1.0,0.002848035868435802,4.641588833612772,0.0001,-2.1062530956811174,,,
T3,1.0,0.002848035868435802,4.641588833612772,0.001,-2.106298994847169,,,
T3,1.0,0.002848035868435802,4.641588833612772,0.01,-2.1067575114083215,,,
T3,1.0,0.002848035868435802,4.641588833612772,0.1,-2.111295823522819,,,
T3,1.0,0.002848035868435802,4.641588833612772,1.0,-2.152561030474213,,,
T3,1.0,0.002848035868435802,4.641588833612772,10.0,-2.3818656004640273,,,
T3,1.0,0.002848035868435802,21.54434690031882,1e-10,-2.475805795556012,,,
T3,1.0,0.002848035868435802,21.54434690031882,1e-09,-2.475805795566198,,,
T3,1.0,0.002848035868435802,21.54434690031882,1e-08,-2.4758057956680637,,,
T3,1.0,0.002848035868435802,21.54434690031882,1e-07,-2.4758057966867186,,,
T3,1.0,0.002848035868435802,21.54434690031882,1e-06,-2.4758058068732627,,,
T3,1.0,0.002848035868435802,21.54434690031882,1e-05,-2.475805908738689,,,
T3,1.0,0.002848035868435802,21.54434690031882,0.0001,-2.4758069273906345,,,
T3,1.0,0.002848035868435802,21.54434690031882,0.001,-2.4758171136790073,,,
T3,1.0,0.002848035868435802,21.54434690031882,0.01,-2.475918953461396,,,
T3,1.0,0.002848035868435802,21.54434690031882,0.1,-2.4769350481992536,,,
T3,1.0,0.002848035868435802,21.54434690031882,1.0,-2.4868725005598455,,,
T3,1.0,0.002848035868435802,21.54434690031882,10.0,-2.568990131214267,,,
T3,1.0,0.002848035868435802,100.0,1e-10,-2.8529759593917126,,,
T3,1.0,0.002848035868435802,100.0,1e-09,-2.8529759593939374,,,
T3,1.0,0.002848035868435802,100.0,1e-08,-2.8529759594161788,,,
T3,1.0,0.002848035868435802,100.0,1e-07,-2.8529759596386097,,,
T3,1.0,0.002848035868435802,100.0,1e-06,-2.8529759618629074,,,
T3,1.0,0.002848035868435802,100.0,1e-05,-2.852975984105883,,,
T3,1.0,0.002848035868435802,100.0,0.0001,-2.8529762065355304,,,
T3,1.0,0.002848035868435802,100.0,0.001,-2.8529784308210537,,,
T3,1.0,0.002848035868435802,100.0,0.01,-2.853000672581709,,,
T3,1.0,0.002848035868435802,100.0,0.1,-2.853222980802223,,,
T3,1.0,0.002848035868435802,100.0,1.0,-2.8554351963922637,,,
T3,1.0,0.002848035868435802,100.0,10.0,-2.8765376997918874,,,
T3,1.0,0.002848035868435802,464.1588833612773,1e-10,-3.2336794693703874,,,
T3,1.0,0.002848035868435802,464.1588833612773,1e-09,-3.2336794693708706,,,
T3,1.0,0.002848035868435802,464.1588833612773,1e-08,-3.233679469375692,,,
T3,1.0,0.002848035868435802,464.1588833612773,1e-07,-3.2336794694239095,,,
T3,1.0,0.002848035868435802,464.1588833612773,1e-06,-3.233679469906087,,,
T3,1.0,0.002848035868435802,464.1588833612773,1e-05,-3.2336794747278637,,,
T3,1.0,0.002848035868435802,464.1588833612773,0.0001,-3.2336795229456308,,,
T3,1.0,0.002848035868435802,464.1588833612773,0.001,-3.233680005122777,,,
T3,1.0,0.002848035868435802,464.1588833612773,0.01,-3.2336848268429583,,,
T3,1.0,0.002848035868435802,464.1588833612773,0.1,-3.233733038917137,,,
T3,1.0,0.002848035868435802,464.1588833612773,1.0,-3.234214647627762,,,
